source_ip,destination_ip,bytes,packets,unique_dest_ips,total_bytes,packet_rate,timestamp,is_anomaly
123.196.55.225,145.187.87.192,4398,42,3,13194,7.48,2024-10-08 22:42:43,0
175.41.22.123,21.194.114.104,5034,50,4,20136,6.67,2024-10-02 04:46:15,0
149.93.47.164,22.169.93.111,6248,68,5,31240,6.35,2024-10-05 09:22:26,0
158.22.194.214,63.41.22.89,4547,58,1,4547,10.0,2024-09-25 08:36:53,0
131.249.110.60,32.119.36.217,5760,49,5,28800,10.15,2024-09-17 21:16:59,0
131.151.186.108,136.15.236.140,4462,45,3,13386,12.42,2024-10-07 09:53:19,0
18.149.191.252,176.152.175.15,4499,52,2,8998,12.45,2024-09-26 10:57:04,0
109.100.164.98,107.152.131.249,5566,55,1,5566,13.05,2024-09-28 20:15:43,0
167.69.41.146,155.65.135.149,5112,48,1,5112,9.09,2024-09-21 19:08:57,0
58.29.80.60,32.146.219.114,4532,48,5,22660,7.14,2024-10-13 08:18:51,0
4.82.184.12,61.25.108.195,6312,50,4,25248,9.12,2024-10-01 06:46:46,0
34.150.77.251,119.222.180.75,5756,47,4,23024,8.58,2024-09-26 03:19:49,0
155.235.92.45,179.58.52.2,5006,31,3,15018,14.14,2024-10-01 06:01:43,0
144.220.121.177,81.10.235.167,4865,44,3,14595,9.69,2024-09-20 09:10:08,0
171.159.127.38,110.220.225.59,4409,57,2,8818,12.25,2024-10-06 05:58:08,0
52.131.155.12,143.69.23.194,5923,66,1,5923,10.99,2024-10-06 20:30:02,0
92.250.141.153,74.39.147.12,4826,56,5,24130,9.93,2024-10-09 08:11:51,0
171.3.29.14,76.81.222.72,5731,61,2,11462,8.83,2024-10-04 04:15:49,0
33.137.56.14,161.176.89.110,5394,33,5,26970,12.11,2024-10-11 00:29:28,0
54.217.94.224,68.82.201.200,5024,57,2,10048,9.7,2024-09-19 20:48:57,0
71.159.152.86,187.45.100.255,3488,47,3,10464,11.4,2024-10-17 15:29:43,0
194.90.52.241,184.43.72.44,4578,49,5,22890,8.08,2024-10-08 19:11:03,0
70.171.201.229,72.246.229.226,5509,50,2,11018,10.54,2024-10-15 14:57:39,0
193.57.25.182,115.57.196.64,6385,27,4,25540,8.13,2024-10-08 22:57:31,0
109.224.84.117,50.158.115.171,4377,53,2,8754,9.33,2024-10-16 02:48:10,0
42.139.195.146,134.10.0.139,4232,56,5,21160,11.42,2024-09-19 15:42:35,0
84.51.123.210,123.47.132.22,4070,40,2,8140,10.35,2024-10-14 05:02:42,0
119.111.188.134,188.213.207.220,3762,49,1,3762,12.63,2024-09-23 12:25:28,0
71.125.63.156,43.45.130.178,19258,237,50,962900,88.82,2024-10-08 15:27:40,1
97.127.49.78,110.72.200.192,4423,46,1,4423,12.15,2024-09-23 11:31:27,0
5.222.134.111,7.62.172.47,3849,67,4,15396,7.59,2024-10-04 09:05:36,0
105.65.128.115,121.87.59.94,4684,37,1,4684,8.18,2024-09-18 18:10:19,0
189.70.127.138,120.224.237.60,5142,44,4,20568,9.56,2024-10-13 03:08:07,0
142.241.98.103,184.68.46.185,4962,58,2,9924,9.82,2024-10-13 23:32:44,0
68.12.116.244,167.27.180.80,5333,34,3,15999,8.51,2024-10-12 18:11:06,0
167.6.187.178,73.150.85.241,5014,48,5,25070,13.28,2024-09-26 20:48:54,0
2.113.112.101,29.51.123.203,6480,47,2,12960,10.27,2024-10-16 20:22:50,0
63.13.27.220,132.124.186.211,4972,41,3,14916,9.91,2024-09-23 12:47:34,0
208.17.80.80,22.119.38.95,4979,44,2,9958,9.43,2024-09-23 03:15:36,0
194.145.108.160,197.241.153.227,5034,38,2,10068,9.52,2024-09-25 14:44:22,0
12.65.218.75,164.40.169.97,4560,55,3,13680,10.89,2024-10-12 17:34:59,0
11.167.141.178,78.95.195.83,6107,42,1,6107,8.85,2024-09-30 21:01:49,0
56.144.3.195,130.248.56.138,6283,51,5,31415,6.68,2024-10-09 00:59:40,0
187.135.105.242,83.17.71.19,4269,57,2,8538,8.12,2024-10-08 17:22:13,0
196.107.33.51,152.87.45.84,4738,55,1,4738,7.51,2024-10-15 23:16:20,0
136.56.99.207,220.253.220.166,2992,40,2,5984,10.49,2024-09-19 12:13:23,0
97.158.146.14,134.88.135.103,4425,32,4,17700,6.05,2024-09-28 01:27:23,0
220.213.179.209,142.198.65.125,23645,262,30,709350,75.41,2024-10-05 00:07:04,1
140.249.55.86,170.32.187.86,4458,44,5,22290,12.1,2024-10-11 22:06:29,0
58.15.154.185,182.161.99.103,4479,49,3,13437,11.91,2024-09-30 08:10:49,0
185.59.7.24,106.7.101.92,4034,68,5,20170,8.73,2024-09-22 23:09:49,0
124.255.190.3,104.218.218.67,3441,52,1,3441,7.39,2024-10-05 15:42:22,0
30.205.234.241,139.203.129.208,6439,75,3,19317,12.6,2024-10-06 00:12:45,0
89.82.146.94,46.88.18.229,3532,69,5,17660,9.17,2024-09-18 17:30:26,0
170.64.99.180,166.66.166.81,5858,61,4,23432,9.22,2024-10-03 10:38:45,0
172.114.177.51,167.20.80.228,5431,52,1,5431,9.42,2024-10-04 10:46:06,0
195.170.255.247,128.3.141.9,2967,46,1,2967,9.18,2024-09-29 08:28:05,0
170.78.204.215,30.146.209.114,20033,146,10,200330,131.35,2024-10-04 00:45:57,1
138.25.224.29,124.89.192.94,4871,57,3,14613,9.16,2024-10-14 04:47:36,0
143.110.2.115,173.69.234.147,5387,40,5,26935,11.08,2024-09-27 04:04:56,0
85.88.156.65,30.24.78.67,4029,56,5,20145,10.1,2024-09-19 08:48:08,0
13.240.193.12,12.151.109.67,4640,33,4,18560,7.6,2024-10-01 05:16:00,0
144.146.89.124,36.209.64.63,4855,54,2,9710,12.95,2024-09-21 14:58:07,0
112.30.168.212,219.67.12.12,5121,54,3,15363,11.14,2024-10-03 06:01:46,0
209.33.6.243,112.73.140.81,4359,40,3,13077,11.02,2024-10-16 06:08:29,0
188.112.33.22,75.8.38.197,6467,60,4,25868,6.14,2024-10-03 20:07:34,0
203.198.66.175,195.157.37.45,4900,47,1,4900,10.45,2024-09-22 05:52:35,0
217.12.181.232,156.121.254.133,7015,52,2,14030,13.57,2024-09-30 01:27:01,0
185.155.126.192,113.249.173.120,4620,34,3,13860,12.91,2024-09-20 18:28:42,0
147.65.139.24,191.154.246.31,4631,58,2,9262,9.91,2024-09-20 21:47:27,0
90.234.103.129,30.64.32.200,18269,181,22,401918,68.19,2024-10-17 01:25:29,1
